       21         17          1         12
     36.5         18          1         12
       54         20          1          9
     24.5         16          1         10
     41.5         20          1         20
       18         17          1         16
        7         13          1         12
       10         14          1         12
       12         16          1         12
    19.65         13          1         11
       24         12          1         12
    15.12         13          1          9
       16         15          1         13
       22         16          1         10
       28         16          1          7
       40         16          1         16
     18.5         12          1         12
     41.9         14          1         18
       43         14          1         13
       13         12          1          9
       33         15          1          7
     22.5         16          1         12
       14         13          1         14
     17.5         16          1         12
       16         16          1         12
     31.2         14          1         12
       19         14          1         12
       21         12          1         12
       13         12          1         12
     27.6         19          1         16
     10.5         17          1         14
       10         12          1         12
       34         16          1         12
       62         16          1         12
       26         15          1          8
       19         16          1         14
     30.2         12          1         12
       22         15          1         13
     30.9         18          1          6
     12.5         12          1         14
       26         14          1         12
   18.953         12          1         12
       43         18          1         19
       16         13          1          9
       22         12          1         12
        7         12          1          9
      3.5         19          1         14
       25         18          1         10
       30         19          1         20
   20.138         12          1          7
       26         16          1         15
       44         16          1         12
       35         16          1         12
       24         13          1          8
       36         14          1         12
       22         15          1         12
     23.5         14          1         10
    32.13         18          1         17
       33         16          1          2
       20         10          1         12
       30         12          1         12
       12         12          1         12
       30         13          1         11
        9         15          1         12
       21         13          1          5
       32         13          1          6
       60         19          1         12
       23         14          1         16
       63         17          1         12
   23.848         12          1          9
       34         18          1         12
       40         16          1          6
        8         15          1         10
       21         12          1          9
       35         15          1         12
     19.5         13          1         16
     35.5         17          1         12
       27         16          1         12
     22.5         18          1          6
       38         12          1          7
       29         12          1          7
       35         15          1         16
       30         12          1          7
        9         16          1         20
       10         11          1         12
       30         17          1         17
       38         17          1         12
       51         16          1         12
     36.5         18          1         10
       65         19          1         10
       17         18          1         17
       10         16          1         10
     82.5         16          1         12
        6         12          1          8
       52         13          1         14
        6         12          1         10
       20         16          1         12
    20.05         16          1         12
       33         14          1         14
       11         14          1         12
       40         19          1         16
       25         20          1         12
       29         16          1         16
       13         16          1         12
       27         17          1         12
      5.7         18          1         15
       35         12          1         12
     19.5         12          1         12
        7         13          1         12
     21.5         14          1         16
       40         14          1         20
       14         12          1          9
       19         14          1          6
       45         14          1         12
       21         14          1         12
       78         18          1         12
       24         16          1         18
       32         13          1          8
       15         13          1         12
      1.3         12          1         16
     32.3         20          1         16
       22         14          1         11
       10         15          1         19
       25         14          1         14
       45         16          1         16
       23         18          1         16
       12         13          1         12
     19.8         12          1         12
       31         17          1         12
       60         16          1         20
       70         19          1         20
       20         17          1         14
        7         16          1         16
     40.1         16          1         12
       21         16          1         14
       16         17          1          8
       24         16          1         19
       28         17          1         13
       46         12          1          8
       38         13          1         12
     18.5         12          1         11
       31         12          1         12
       32         16          1         16
       38         14          1         12
      8.5         16          1         12
   36.271         18          1         15
       32         17          1         18
       51         16          1         12
       40         14          1         12
        8         15          1         16
       32         12          1         16
       30         12          1         12
       65         18          1         16
       21         19          1         10
       24         12          1         20
       13         13          1         14
       25         14          1         12
    39.75         16          1          7
       15         12          1          7
       25         14          1         14
       12         14          1         17
       32         19          1         16
       29         16          1         12
       16         12          1         12
     59.5         16          1         12
       46         19          1         12
      6.5         14          1          8
       15         16          1         12
       25         14          1         14
       33         13          1         12
     10.3         14          1         10
       35         14          1         12
        3         16          1          6
        4         12          1         12
       21         12          1          8
       65         16          1         12
       22         14          1         16
        5         14          1         14
       45         12          1         17
       75         20          1         18
       45         17          1         14
       32         12          1         12
        9         12          1          9
       24         16          1         16
       17         15          1          8
       27         16          1         15
       34         16          1          8
       30         17          1         16
       21          9          1         12
     38.5         13          1         14
       30         18          1         15
       40         16          1         12
       38         16          1         18
       25         16          1         16
       42         18          1         12
    58.68         20          1         11
     33.5         18          1         12
     37.5         14          1         16
       26         16          1         16
       40         16          1         18
        7         20          1         12
        6         12          1         13
     20.8         16          1         14
       35         16          1         20
       33         14          1         12
       15         16          1         12
       15         15          1         10
        5         18          1         16
        8         12          1         12
       33         15          1         12
     16.1         12          1         15
     22.3         14          1         12
       41         18          1         15
       35         12          1         12
       12         17          1         16
       34         17          1         18
       25         16          1         12
       76         16          1         15
       78         19          1         12
       13         14          1          9
        9         17          1         12
     53.4         16          1         11
       25         16          1         12
       21         12          1          6
       36         16          1         20
       49         16          1         12
       32         16          1         11
       37         16          1         18
       32         14          1         20
       35         17          1         12
       30         13          1         10
       16         14          1         14
     13.6         16          1         12
       14         12          1         12
       26         16          1         12
      4.6         14          1         16
       40         16          1         16
       41         17          1         16
     19.8         13          1         12
       13         16          1         12
       34         13          1         15
       26         16          1         12
       93         16          1         16
     46.5         18          1          8
      9.6          9          1         16
       75         15          1         16
        9         12          1          8
       15         17          1         14
       48         16          1          8
